fpl_code,understat_id,fpl_name,understat_name
456350,10765,Gavin Bazunu,Gavin Bazunu
158499,10744,Ryan Christie,Ryan Christie
220585,10845,Flynn Downes,Flynn Downes
461358,10846,Julián Álvarez,Julián Álvarez
193204,10766,Joe Ayodele-Aribo,Joe Ayodele-Aribo
201658,10741,Marcus Tavernier,Marcus Tavernier
195899,6253,Gianluca Scamacca,Gianluca Scamacca
447932,10740,Jordan Zemura,Jordan Zemura
179519,6088,Orel Mangala,Orel Mangala
114241,10758,Harry Toffolo,Harry Toffolo
244930,10761,Alex Mighten,Alex Mighten
222017,7239,Conor Coventry,Conor Coventry
220237,8635,Sven Botman,Sven Botman
200785,7352,Tyler Adams,Tyler Adams
242898,10760,Brennan Johnson,Brennan Johnson
224209,10750,Rasmus Kristensen,Rasmus Kristensen
128340,10743,Kieffer Moore,Kieffer Moore
168281,10757,Scott McKenna,Scott McKenna
222690,10803,Tyrell Malacia,Tyrell Malacia
450535,10698,Malcolm Ebiowei,Malcolm Ebiowei
210156,7814,Taiwo Awoniyi,Taiwo Awoniyi
86129,1376,Kalidou Koulibaly,Kalidou Koulibaly
243571,10292,Nathan Patterson,Nathan Patterson
427637,10751,Brenden Aaronson,Brenden Aaronson
223094,8260,Erling Haaland,Erling Haaland
221820,10802,Lisandro Martínez,Lisandro Martínez
199170,5989,Moussa Niakhaté,Moussa Niakhate
171101,5050,Clément Lenglet,Clement Lenglet
514356,10004,Roméo Lavia,Romeo Lavia
434662,9686,Halil Dervişoğlu,Halil Dervisoglu
45034,448,Ivan Perišić,Ivan Perisic
243345,10759,Lewis O'Brien,Lewis O'Brien
447203,10720,Darwin Núñez Ribeiro,Darwin Núñez
154296,10715,João Palhinha Gonçalves,João Palhinha
234370,5086,Marc Roca Junqué,Marc Roca
165659,5712,Diego Carlos Santos Silva,Diego Carlos
438464,8666,Cheick Doucouré C.Doucouré,Cheick Oumar Doucoure
490146,10718,Jay Stansfield,Jay Stansfield
427623,8430,Chris Richards,Chris Richards
477064,10847,Rico Lewis,Rico Lewis
451340,10806,Kaoru Mitoma,Kaoru Mitoma
449871,9667,Amadou Onana,Amadou Onana
120721,983,Kevin Mbabu,Kevin Mbabu
128309,10865,Jamal Lowe,Jamal Lowe
476888,8970,Sékou Mara,Sékou Mara
221466,10864,Marcos Senesi,Marcos Senesi
477386,9710,Armel Bella-Kotchap,Armel Bella Kotchap
224995,10866,Luis Sinisterra Lucumí,Luis Sinisterra
181284,5682,Gonçalo Manuel Ganchinho Guedes,Gonçalo Guedes
166325,5646,Carlos Ribeiro Dias Cafú,Cafú
444180,10746,Jaidon Anthony,Jaidon Anthony
440089,8859,Mikkel Damsgaard,Mikkel Damsgaard
232859,10764,Djed Spence,Djed Spence
219168,5232,Alexander Isak,Alexander Isak
204968,11003,Ryan Yates,Ryan Yates
491970,10997,Bobby Clark,Bobby Clark
133845,10745,Emiliano Marcondes,Emiliano Marcondes
437468,6656,Sergio Gómez,Sergio Gómez
201057,2674,Thilo Kehrer,Thilo Kehrer
89076,1488,Remo Freuler,Remo Freuler
535928,10723,Stefan Bajcetic,Stefan Bajcetic
437753,7282,Giulian Biancone,Giulian Biancone
518906,11034,Owen Bevan,Owen Bevan
465351,11000,Matheus Luiz Nunes,Matheus Nunes
469142,10807,Jan Paul van Hecke Van Hecke,Jan Paul van Hecke
