event,id,kickoff_time,opponent_team,team_a_score,team_h_score,team_a,team_h
26,252,2018-02-03T15:00:00Z,15,1,2,15,2
26,251,2018-02-03T17:30:00Z,7,1,5,7,1
26,255,2018-02-04T14:15:00Z,13,1,1,13,6
26,259,2018-02-05T20:00:00Z,5,1,4,5,18
26,257,2018-02-04T16:30:00Z,17,2,2,17,10
26,256,2018-02-03T15:00:00Z,16,1,1,16,9
26,260,2018-02-03T15:00:00Z,14,3,2,14,19
26,258,2018-02-03T15:00:00Z,8,0,2,8,12
26,253,2018-02-03T15:00:00Z,20,1,3,20,3
27,270,2018-02-10T15:00:00Z,18,0,2,18,20
27,263,2018-02-11T12:00:00Z,2,1,4,2,8
27,262,2018-02-10T15:00:00Z,6,1,3,6,7
27,264,2018-02-10T17:30:00Z,9,1,5,9,11
27,265,2018-02-11T14:15:00Z,12,0,1,12,13
27,266,2018-02-11T16:30:00Z,10,2,0,10,14
27,268,2018-02-10T15:00:00Z,4,0,1,4,16
27,269,2018-02-10T12:30:00Z,1,0,1,1,17
27,261,2018-02-12T20:00:00Z,19,0,3,19,5
27,267,2018-02-10T15:00:00Z,3,1,1,3,15
28,274,2018-02-24T15:00:00Z,14,1,1,14,4
28,272,2018-02-24T15:00:00Z,13,2,2,13,2
28,271,2018-03-01T19:45:00Z,11,3,0,11,1
28,275,2018-02-25T12:00:00Z,17,1,0,17,6
28,279,2018-02-24T17:30:00Z,7,0,1,7,18
28,277,2018-02-24T15:00:00Z,20,1,4,20,10
28,276,2018-02-24T12:30:00Z,15,1,1,15,9
28,280,2018-02-24T15:00:00Z,8,2,1,8,19
28,278,2018-02-25T14:05:00Z,5,1,2,5,12
28,273,2018-02-24T15:00:00Z,16,1,4,16,3
29,282,2018-03-03T12:30:00Z,7,1,2,7,4
29,283,2018-03-05T20:00:00Z,12,3,2,12,6
29,290,2018-03-03T15:00:00Z,19,0,1,19,18
29,285,2018-03-03T17:30:00Z,13,0,2,13,10
29,284,2018-03-03T15:00:00Z,2,1,1,2,9
29,286,2018-03-04T16:00:00Z,5,0,1,5,11
29,287,2018-03-03T15:00:00Z,15,0,0,15,14
29,288,2018-03-03T15:00:00Z,20,1,4,20,16
29,289,2018-03-03T15:00:00Z,8,0,2,8,17
29,281,2018-03-04T13:30:00Z,1,1,2,1,3
3,24,2017-08-26T14:00:00Z,14,0,0,14,8
3,27,2017-08-26T14:00:00Z,3,0,0,3,18
3,21,2017-08-26T11:30:00Z,11,2,1,11,2
3,28,2017-08-27T15:00:00Z,1,0,4,1,10
3,30,2017-08-27T12:30:00Z,15,1,1,15,19
3,26,2017-08-26T14:00:00Z,20,0,3,20,13
3,25,2017-08-26T16:30:00Z,9,0,2,9,12
3,22,2017-08-27T12:30:00Z,7,0,2,7,5
3,23,2017-08-26T14:00:00Z,16,2,0,16,6
3,29,2017-08-27T15:00:00Z,4,1,1,4,17
30,300,2018-03-10T15:00:00Z,4,3,0,4,20
30,295,2018-03-10T15:00:00Z,16,0,0,16,8
30,292,2018-03-11T16:00:00Z,17,4,1,17,2
30,291,2018-03-11T13:30:00Z,18,0,3,18,1
30,294,2018-03-10T15:00:00Z,3,0,2,3,7
30,299,2018-03-10T15:00:00Z,9,4,1,9,19
30,297,2018-03-10T15:00:00Z,14,0,3,14,13
30,296,2018-03-10T12:30:00Z,10,1,2,10,12
30,293,2018-03-10T17:30:00Z,6,1,2,6,5
30,298,2018-03-12T20:00:00Z,11,2,0,11,15
31,303,2018-03-17T15:00:00Z,6,2,0,6,8
31,301,2018-03-17T15:00:00Z,19,1,2,19,2
31,305,2018-03-17T17:30:00Z,18,0,5,18,10
31,307,2018-03-17T15:00:00Z,7,2,1,7,15
32,320,2018-03-31T14:00:00Z,14,0,3,14,20
32,311,2018-04-01T12:30:00Z,15,0,3,15,1
32,314,2018-03-31T11:30:00Z,10,2,1,10,6
32,318,2018-03-31T14:00:00Z,2,2,2,2,18
32,315,2018-03-31T16:30:00Z,11,3,1,11,7
32,319,2018-03-31T14:00:00Z,4,2,1,4,19
32,317,2018-03-31T14:00:00Z,8,0,1,8,13
32,316,2018-03-31T14:00:00Z,16,0,2,16,12
32,313,2018-04-01T15:00:00Z,17,3,1,17,5
32,312,2018-03-31T14:00:00Z,9,2,0,9,3
33,322,2018-04-07T14:00:00Z,6,2,2,6,2
33,321,2018-04-08T13:15:00Z,14,2,3,14,1
33,329,2018-04-07T14:00:00Z,4,2,1,4,18
33,325,2018-04-07T11:30:00Z,10,0,0,10,7
33,326,2018-04-07T14:00:00Z,13,2,1,13,9
33,330,2018-04-07T14:00:00Z,16,1,1,16,19
33,327,2018-04-07T16:30:00Z,12,3,2,12,11
33,324,2018-04-08T15:30:00Z,20,1,1,20,5
33,323,2018-04-07T14:00:00Z,8,1,1,8,3
33,328,2018-04-07T14:00:00Z,17,2,1,17,15
34,340,2018-04-16T19:00:00Z,15,1,1,15,20
34,331,2018-04-14T14:00:00Z,9,1,2,9,4
34,302,2018-04-19T18:45:00Z,5,2,1,5,4
34,333,2018-04-14T14:00:00Z,18,0,1,18,8
34,342,2018-04-18T18:45:00Z,12,2,0,12,2
34,332,2018-04-14T14:00:00Z,3,2,3,3,6
34,334,2018-04-14T16:30:00Z,2,0,3,2,10
34,346,2018-04-19T18:45:00Z,14,0,0,14,9
34,336,2018-04-15T12:30:00Z,1,1,2,1,13
34,335,2018-04-15T15:00:00Z,19,1,0,19,12
34,337,2018-04-14T11:30:00Z,5,3,2,5,14
34,338,2018-04-14T14:00:00Z,7,1,1,7,16
34,339,2018-04-14T18:45:00Z,11,3,1,11,17
34,343,2018-04-17T18:45:00Z,17,1,1,17,3
35,341,2018-04-22T12:30:00Z,20,1,4,20,1
35,349,2018-04-21T14:00:00Z,6,0,0,6,18
35,345,2018-04-23T19:00:00Z,13,0,1,13,7
